"Response ID","Time Started","Date Submitted","Status","Legacy Comments","Comments","Language","Referer","Extended Referer","SessionID","User Agent","Extended User Agent","Tags","Firefox Version","Default Browser","Search Engine","Sync Setup","Shield ID","Branch","Familiar:Reasonsboxes","Independent from big companies:Reasonsboxes","Recommended by a friend:Reasonsboxes","Customizable:Reasonsboxes","Different from the usual:Reasonsboxes","Open-source:Reasonsboxes","Friendly:Reasonsboxes","Fast at loading pages:Reasonsboxes","Popular:Reasonsboxes","Stable- doesn’t crash:Reasonsboxes","Loved by the tech press:Reasonsboxes","Cool:Reasonsboxes","Easy to find on my computer:Reasonsboxes","Simple to use:Reasonsboxes","Full of features:Reasonsboxes","Secure:Reasonsboxes","Private:Reasonsboxes","Efficient:Reasonsboxes","Socially responsible:Reasonsboxes","Has a good reputation:Reasonsboxes","On my side:Reasonsboxes","Something I've been using for years:Reasonsboxes","Distinctive:Reasonsboxes","New Hidden Value","Loyal:Affect","Admiring:Affect","Friendly:Affect","Enthusiastic:Affect","Hooked:Affect","Disgusted:Affect","Frustrated:Affect","Unsatisfied:Affect","Annoyed:Affect","Turned off:Affect","Used an online encyclopedia such as Wikipedia:TasksA","Checked the weather online:TasksA","Visited a group-buying / deal site such as Groupon:TasksA","Watched a vlog:TasksA","Visited an online retail site or store such as Amazon:TasksA","Made a phone call over the internet:TasksA","Listened to an online radio station / service:TasksA","Uploaded / shared a video:TasksA","Used a music-streaming service:TasksA","Used an online dating service:TasksA","Listened to or watched a podcast:TasksA","Used a price comparison service:TasksA","Visited / used a blogging service:TasksA","Used voice search or voice command tools (e.g. Siri, Cortana):TasksA","Posted a comment in a forum:TasksA","Visited a job / recruitment site:TasksA","Visited a business news website:TasksA","Used a chat or instant messaging service:TasksA","I have not done any of these tasks in the last 7 days:TasksA","Visited a travel / vacation website:TasksB","Used a search engine:TasksB","Purchased a product online:TasksB","Used a map or directions service:TasksB","Read or sent an email:TasksB","Posted a review of a product, company or service:TasksB","Visited / used a social network:TasksB","Visited an online casino, gambling, betting or lottery service:TasksB","Used website to order take-away food for delivery:TasksB","Watched sports coverage or highlights online:TasksB","Sold a product online:TasksB","Uploaded / shared a photo:TasksB","Used an internet banking service:TasksB","Visited an online auction site:TasksB","Watched a video clip or visited a video-sharing site:TasksB","Visited a news website:TasksB","Searched for a product or service you want to buy:TasksB","Used a chat or instant messaging service:TasksB","I have not done any of these tasks in the last 7 days:TasksB","Opensource:Shared Values","Independant:Shared Values","NetNeutrality:Shared Values","Available:Shared Values","Privacy:Shared Values","workhours","nonworkhours","primaryness"
"536","Sep 14, 2018 6:47:03 pm","Sep 14, 2018 6:52:12 pm","Complete","","","English","","","1536976023_5b9c6497b2c516.36285115","","","","62.0","1","null","1","72365d56-ae12-7a40-a1a8-63e5ab30a21a","","","","","","","","","Fast","","Stable","","","","Simple","","","Private","","","","","","","09/14/2018","3","3","3","3","3","0","0","0","0","0","39","40","","","43","","45","","47","","","","","","53","","55","","","","2","3","4","5","6","7","","","","","","13","","15","16","17","","","0","4","4","4","4","0","6","FF only"
"537","Sep 14, 2018 6:47:32 pm","Sep 14, 2018 6:59:31 pm","Complete","","","English","","","1536976052_5b9c64b4208915.77595485","","","","62.0","1","google-2018","1","32cbc496-7613-46d2-b963-09777ff17884","","","","","Customizable","Different","","Friendly","Fast","","Stable","","","Easy to find","Simple","Full of features","Secure","","Efficient","","","On my side","Been using for years","","09/14/2018","3","2","2","","3","0","0","0","0","2","39","","","42","43","","","","","","49","50","","","","","","","","","2","3","","5","","7","","","","","","13","","15","","17","","","4","3","0","4","4","0","6","FF only"
"538","Sep 14, 2018 6:48:20 pm","Sep 14, 2018 6:49:46 pm","Partial","","","English","","","1536976100_5b9c64e4292097.53531363","","","","62.0","1","google-2018","1","107d48d3-28b1-449f-9e88-38940a7433b1","","","Independent","","Customizable","","Opensource","Friendly","Fast","","Stable","","","","Simple","Full of features","Secure","Private","Efficient","Socially responsible","Good reputation","On my side","Been using for years","","09/14/2018","3","3","3","3","3","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"539","Sep 14, 2018 6:48:45 pm","Sep 14, 2018 6:52:25 pm","Complete","","","English","","","1536976125_5b9c64fdd82412.27987644","","","","62.0","1","ddg","0","d277045e-019f-4316-b5d2-92699c0bebc9","","","Independent","","","","Opensource","","Fast","","Stable","","","","Simple","","Secure","Private","Efficient","","Good reputation","","","","09/14/2018","0","0","0","0","0","0","0","0","0","0","39","40","","","43","","","","","","","50","","","","","55","","","","2","","4","5","","","","","","","12","13","","","16","","","","2","2","3","3","3","1","1","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"540","Sep 14, 2018 6:48:43 pm","Sep 14, 2018 6:54:16 pm","Complete","","","English","","","1536976123_5b9c64fb5be9d3.94268670","","","","62.0","1","google-2018","0","9d4208ef-04be-4ac5-9fe2-3364827c9e44","","","","Recommended","","","","","Fast","","Stable","","","","Simple","Full of features","Secure","","Efficient","","Good reputation","On my side","","","09/14/2018","3","","2","3","3","0","0","0","0","0","39","40","","","43","","","","","","","","51","","","","","","","","2","3","","5","","","","","","","","","","","16","17","","","0","4","0","4","4","0","6","FF only"
"541","Sep 14, 2018 6:49:40 pm","Sep 14, 2018 6:52:06 pm","Complete","","","English","","","1536976179_5b9c6533e11b53.54219247","","","","62.0","1","google-2018","0","af544fd9-d734-4a88-a4bb-97802dd295e2","","","Independent","","Customizable","","Opensource","Friendly","Fast","Popular","Stable","","","Easy to find","Simple","Full of features","Secure","Private","Efficient","Socially responsible","Good reputation","On my side","Been using for years","","09/14/2018","2","2","2","1","2","0","0","0","0","0","39","40","","42","43","44","45","46","47","48","49","50","51","","53","54","55","56","","1","2","3","4","5","6","7","","","10","","12","13","14","15","16","17","","","4","4","4","4","4","0","8","FF only"
"542","Sep 14, 2018 6:47:16 pm","Sep 14, 2018 6:53:45 pm","Complete","","","English","","","1536976036_5b9c64a4c831a1.06975153","","","","62.0","1","null","0","e9fe0950-0602-4af3-8ee2-d6c3004804f8","","","","","Customizable","","Opensource","Friendly","Fast","","Stable","","","Easy to find","Simple","Full of features","Secure","","Efficient","Socially responsible","","","Been using for years","","09/14/2018","1","1","1","1","3","0","0","0","0","0","39","40","","42","43","44","45","46","47","48","49","50","51","","53","54","55","56","","","2","3","4","5","6","7","","9","10","","12","13","14","15","16","17","","","2","2","4","4","4","0","18","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"543","Sep 14, 2018 6:49:26 pm","Sep 14, 2018 7:03:11 pm","Complete","","","English","","","1536976166_5b9c652682e143.51075112","","","","62.0","0","google-2018","0","a501b1c6-6ab5-4a2f-9cc3-2b055463cbf1","","","","","","","","","","","Stable","","","","Simple","","","","","","Good reputation","","Been using for years","","09/14/2018","2","2","1","1","0","0","0","0","0","0","39","40","","","43","","","","47","","","","","","53","54","55","56","","","2","","4","5","","7","","","10","","","13","","15","16","17","","","3","2","0","4","4","6","3","FF secondary"
"544","Sep 14, 2018 6:50:17 pm","Sep 14, 2018 6:51:49 pm","Partial","","","English","","","1536976217_5b9c65591dde34.20816767","","","","62.0","1","google-2018","1","c60a785b-d46a-4fc7-ab5b-4c0ad54a9029","","","","Recommended","Customizable","Different","","","","Popular","","","","Easy to find","Simple","","Secure","Private","Efficient","","","","","","09/14/2018","1","2","0","1","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","57","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"545","Sep 14, 2018 6:51:00 pm","Sep 14, 2018 6:55:08 pm","Complete","","","English","","","1536976260_5b9c65847eece6.62077377","","","","62.0","0","google-2018","0","7b7dfaec-5a07-40c3-8c83-53b50d141395","","","","","","","","","","","","","","Easy to find","Simple","","","","","","","","Been using for years","Distinctive","09/14/2018","3","2","3","2","3","0","1","1","1","1","","40","","","","","","","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","0","4","2","4","4","2","1","FF only"
"546","Sep 14, 2018 6:53:17 pm","Sep 14, 2018 6:57:14 pm","Complete","","","English","","","1536976397_5b9c660dc11875.82529583","","","","62.0","0","google-2018","1","9a91d525-284a-4014-bd78-5b1ea015dfb8","","","","","","","","Friendly","Fast","","Stable","","","Easy to find","Simple","Full of features","Secure","","Efficient","","Good reputation","","","","09/14/2018","2","1","2","2","2","0","1","0","0","0","39","","","","43","","","46","47","","","","","","53","","","","","","2","","","5","","","","","","","12","","","15","16","17","","","2","3","2","4","4","8","4","FF only"
"547","Sep 14, 2018 6:53:45 pm","Sep 14, 2018 6:54:30 pm","Partial","","","English","","","1536976425_5b9c6629b0c041.60729880","","","","62.0","1","google-2018","0","1eda9472-b7c1-ca4d-ae09-d2a236d66a2c","","","Independent","","Customizable","","","Friendly","Fast","","Stable","","","","Simple","Full of features","Secure","Private","Efficient","","","","Been using for years","","09/14/2018","3","3","3","3","3","3","3","3","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"548","Sep 14, 2018 6:52:52 pm","Sep 14, 2018 6:59:56 pm","Complete","","","English","","","1536976372_5b9c65f499a9b9.25843182","","","","62.0","1","google-2018","0","01022964-8f08-47d7-9384-2a6500c1263a","","","Independent","","Customizable","Different","Opensource","Friendly","","","Stable","","","","Simple","Full of features","","Private","Efficient","","Good reputation","On my side","Been using for years","","09/14/2018","2","2","3","2","2","0","0","0","0","0","39","40","","","","","45","","","","","","","","","","","","","","2","","4","5","","","","","","","","","","15","16","17","","","4","4","0","4","2","1","3","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"549","Sep 14, 2018 6:28:56 pm","Sep 14, 2018 6:55:04 pm","Partial","","","English","","","1536974936_5b9c6058ace2e5.07095398","","","","62.0","0","google-2018","1","a3e71b6c-4d29-4f9e-b8e2-be131df4be8e","","","","","Customizable","","","Friendly","Fast","Popular","Stable","","","","Simple","Full of features","Secure","","Efficient","","Good reputation","","","","09/14/2018","1","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"550","Sep 14, 2018 6:54:19 pm","Sep 14, 2018 6:59:15 pm","Complete","","","English","","","1536976459_5b9c664b2ed867.96223557","","","","62.0","1","google-2018","0","3d77a7b2-bd66-4d76-a5fc-c281b5ac6d3d","","","Independent","","Customizable","","","","","","Stable","","","","","","Secure","","Efficient","","","","","","09/14/2018","2","1","3","2","2","0","0","0","0","0","39","40","","","43","","","","","","49","","","","53","","","56","","","2","3","","5","","7","","9","","","12","13","","15","16","17","","","4","4","4","4","4","6","8","FF only"
"551","Sep 14, 2018 6:54:16 pm","Sep 14, 2018 7:01:36 pm","Complete","","","English","","","1536976455_5b9c6647e968f6.94016092","","","","62.0","1","google-2018","0","db97cc76-159a-474e-83ee-3ac1b9b6622f","","","","","","","","","Fast","","Stable","","","","Simple","","Secure","Private","Efficient","Socially responsible","Good reputation","","","","09/14/2018","0","0","0","0","2","0","0","0","0","0","39","","","","","","","46","47","","","","","","","","","","","","2","","","","","7","","","","","12","","","15","","","","","2","2","2","2","2","0","1","FF only"
"552","Sep 14, 2018 6:55:06 pm","Sep 14, 2018 7:00:09 pm","Complete","","","English","","","1536976506_5b9c667ac701f8.61341270","","","","62.0","1","google-2018","0","ae58f4a8-a7dd-4274-9b80-818de6372155","","","","","","","","","Fast","","","","","","Simple","","Secure","Private","","","","","","","09/14/2018","0","0","0","0","0","0","0","0","0","0","39","40","","","43","","","","47","","","","","","53","","55","","","1","2","3","4","5","","","","","","","","13","","15","16","","","","0","2","2","2","4","0","3","FF secondary"
"553","Sep 14, 2018 6:55:40 pm","Sep 14, 2018 6:59:54 pm","Complete","","","English","","","1536976540_5b9c669c472fd1.89191919","","","","61.0.2","1","google-2018","0","6a0f7b31-708f-45f1-9655-5222103844de","","","Independent","","Customizable","","","Friendly","","","","","","","Simple","","Secure","","","Socially responsible","","","","","09/14/2018","3","2","3","2","1","0","0","0","0","0","39","40","","","43","","","","","","","","","","","","55","56","","","2","3","4","5","","7","","","","","12","13","","15","16","","","","0","4","0","4","4","0","4","FF only"
"554","Sep 14, 2018 6:57:49 pm","Sep 14, 2018 7:02:13 pm","Complete","","","English","","","1536976668_5b9c671ce97755.09642196","","","","62.0","1","google-2018","0","77c8ca5e-dfc8-4b5b-8e50-87ccbd68d909","","","Independent","","Customizable","","Opensource","","Fast","","Stable","","","","","","Secure","Private","Efficient","Socially responsible","Good reputation","","","","09/14/2018","3","1","2","2","0","0","1","0","1","0","39","","","42","43","","","46","47","","49","","51","","53","54","55","56","","","2","3","4","5","","7","","","10","","12","13","","15","16","17","","","4","4","4","4","4","5","5","FF only"
"555","Sep 14, 2018 6:57:18 pm","Sep 14, 2018 7:03:59 pm","Complete","","","English","","","1536976638_5b9c66fec21068.49975173","","","","62.0","1","ddg","0","b3f7ece1-f170-d941-8481-707a8e8f9c14","","","","","Customizable","","Opensource","Friendly","Fast","","","","","","Simple","","","","Efficient","","Good reputation","","Been using for years","","09/14/2018","2","1","2","2","0","0","0","0","0","0","39","40","","42","43","","","","","","","50","51","","","","55","","","","2","3","4","5","","7","","","","","","13","","15","16","17","","","4","2","4","4","4","8","4","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"556","Sep 14, 2018 6:58:47 pm","Sep 14, 2018 7:04:28 pm","Complete","","","English","","","1536976727_5b9c67570bb839.38471741","","","","62.0","0","google-2018","0","84f94cdc-f7be-468b-84da-7ae6d44a2775","","","","","","","","Friendly","","","Stable","","","","Simple","","Secure","Private","Efficient","","","On my side","","","09/14/2018","2","1","2","2","2","0","0","0","0","0","39","40","","","","","45","","47","","49","","","","","54","","","","","2","3","4","5","","7","","","","","","13","","15","16","17","","","2","2","4","4","4","0","2","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"557","Sep 14, 2018 6:59:28 pm","Sep 14, 2018 7:03:58 pm","Complete","","","English","","","1536976768_5b9c678055ac49.68693080","","","","62.0","0","google-2018","0","619d4275-aaca-420b-9c59-ed3f56f11633","","","","","","","","","Fast","","Stable","","","Easy to find","Simple","","","","Efficient","","","","","","09/14/2018","2","0","3","3","3","0","1","1","1","0","","","","","","","","","","","","","","","","","","","57","","2","3","","5","","7","","","","","","","","15","","","","","4","0","2","4","4","0","15","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"558","Sep 14, 2018 7:01:11 pm","Sep 14, 2018 7:07:09 pm","Complete","","","English","","","1536976871_5b9c67e70e9ba1.82740925","","","","62.0","1","google-2018","1","9267b886-d7f4-41a5-a78f-369425f81e2c","","","","","Customizable","","Opensource","","Fast","","Stable","","","","Simple","","Secure","Private","Efficient","","","","","","09/14/2018","2","1","1","1","1","3","3","3","3","3","39","40","","","43","","","46","","","49","","51","","53","","","56","","1","2","3","4","5","","7","","","","","12","13","14","15","16","17","","","4","3","4","4","4","0","8","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"559","Sep 14, 2018 7:01:12 pm","Sep 14, 2018 7:07:52 pm","Complete","","","English","","","1536976871_5b9c67e7e17494.78082751","","","","62.0","1","google-2018","0","261443e2-0ae5-4529-adcc-9c42bf038ec4","","","Independent","","","","","","Fast","","Stable","","","","Simple","","Secure","Private","","","Good reputation","","","","09/14/2018","2","","","1","","","1","1","1","","39","","","","43","","","","47","","","","","","","","","56","","","2","3","","5","","","","9","","","","","","","16","17","","","0","3","4","4","4","2","3","FF only"
"560","Sep 14, 2018 7:00:30 pm","Sep 14, 2018 7:08:42 pm","Complete","","","English","","","1536976829_5b9c67bdeae255.27192166","","","","62.0","0","bing","0","4c81876a-778c-42c4-8ae2-4da790dbf011","","","Independent","","","","","","Fast","","Stable","","","Easy to find","Simple","","Secure","Private","","","Good reputation","On my side","","","09/14/2018","2","1","3","2","2","0","0","0","0","0","","","","","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19","2","2","2","4","4","0","1","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"561","Sep 14, 2018 7:01:54 pm","Sep 14, 2018 7:06:59 pm","Complete","","","English","","","1536976914_5b9c68129f3562.77374552","","","","62.0","1","google-2018","1","0f2546bd-d807-4d1f-9293-afb9bf034c71","","","","","Customizable","","","","Fast","","Stable","","","","","","Secure","","","","","","","","09/14/2018","3","0","2","1","0","0","1","0","0","0","","40","","42","43","","","","47","","49","","","","","","","","","","2","3","4","5","","7","","","","","","13","","15","16","17","","","3","4","4","4","4","0","5","FF only"
"562","Sep 14, 2018 7:01:34 pm","Sep 14, 2018 7:07:31 pm","Complete","","","English","","","1536976894_5b9c67fe0f2427.09042484","","","","62.0","1","bing","0","af88e3c7-18ba-ca44-bcde-e97a1cb81473","","","Independent","","","","","","Fast","","Stable","","","","Simple","","Secure","Private","","","","","","","09/14/2018","2","1","2","2","1","0","0","0","0","0","","40","","","43","","","","","","","","","","","","55","","","","","3","","5","","7","","","","","12","13","","","16","17","","","2","2","1","3","2","0","12","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"563","Sep 14, 2018 7:05:07 pm","Sep 14, 2018 7:11:37 pm","Complete","","","English","","","1536977107_5b9c68d38bd251.87040701","","","","62.0","1","google-2018","1","5b6c02f2-8eca-46b9-aca3-a6e23f87d7f3","","","Independent","Recommended","Customizable","","Opensource","Friendly","Fast","","Stable","","","Easy to find","Simple","Full of features","Secure","Private","Efficient","Socially responsible","Good reputation","On my side","","Distinctive","09/14/2018","3","1","3","3","3","0","0","0","0","0","39","40","","","43","","45","","47","","49","","51","","53","","55","56","","1","2","3","4","5","6","7","","","10","","12","13","14","15","16","17","","","4","4","4","4","4","3","3","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"564","Sep 14, 2018 7:05:33 pm","Sep 14, 2018 7:12:51 pm","Complete","","","English","","","1536977133_5b9c68ed676ed2.92239013","","","","62.0","1","bing","0","bd86277a-27c4-4547-bbfc-e3a39f47bdb7","","","Independent","","Customizable","","","","Fast","","Stable","","","","Simple","","Secure","Private","Efficient","","","","","","09/14/2018","2","","2","","0","0","0","0","0","0","39","40","","","43","","45","","","","49","","","","53","","","","","1","2","","4","5","","","","","","","","13","","15","","","","","3","4","","2","4","0","6","FF only"
"565","Sep 14, 2018 7:07:08 pm","Sep 14, 2018 7:14:02 pm","Complete","","","English","","","1536977228_5b9c694cbd0095.77378418","","","","62.0","1","google","1","46d73652-2f23-4fcd-ae91-6cc939656d26","","","","","Customizable","","Opensource","","","","Stable","","","","","","","","","Socially responsible","","","","","09/14/2018","3","1","3","2","1","0","0","0","0","0","39","","","","","44","","","","","","","51","","","54","","56","","1","2","","4","5","6","7","","","","","12","","","15","","17","","","4","4","0","4","4","8","2","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"566","Sep 14, 2018 7:08:28 pm","Sep 14, 2018 7:12:37 pm","Complete","","","English","","","1536977308_5b9c699c6b2e57.93267277","","","","62.0","0","null","0","239381c3-bc94-4ffe-a346-74f7298867e4","","","","","","","","Friendly","Fast","","","","","Easy to find","Simple","","","","","","","","","","09/14/2018","1","1","1","0","1","1","2","1","1","1","39","40","","","43","","","","","","","50","","","","","","56","","","","3","4","5","","7","","","","","","13","","","","17","","","0","2","0","3","3","1","4","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"567","Sep 14, 2018 7:06:33 pm","Sep 14, 2018 7:12:55 pm","Complete","","","English","","","1536977193_5b9c69296a6395.83762096","","","","62.0","1","google-2018","0","4398a2f6-803c-4d55-a92b-f5c5617f3848","","","","","Customizable","","","","Fast","","Stable","","","","Simple","","","","Efficient","","","","Been using for years","","09/14/2018","2","2","2","3","2","0","0","0","0","0","39","","","42","43","","","","47","","","","51","","","54","","","","","2","","4","5","","7","","9","","","12","13","","15","","17","","","0","0","0","4","4","0","4","FF only"
"568","Sep 14, 2018 7:09:50 pm","Sep 14, 2018 7:17:38 pm","Complete","","","English","","","1536977390_5b9c69ee1e9132.64602272","","","","62.0","1","google-2018","0","799c37cb-7297-4ed8-938e-18ee5d9e2bd4","","","","","","","","","Fast","","Stable","","","Easy to find","Simple","","Secure","Private","Efficient","","Good reputation","","Been using for years","","09/14/2018","3","1","3","2","2","0","0","1","0","1","","40","","","","","","","","","","","","","","","","","","","","","","5","","","8","","","","","13","","","16","","","","2","3","2","3","3","1","6","FF only"
"569","Sep 14, 2018 7:09:40 pm","Sep 14, 2018 7:18:33 pm","Complete","","","English","","","1536977380_5b9c69e4222fe7.16830769","","","","62.0","1","google-2018","1","36d35582-ee3a-4677-9160-d989df18cc8f","","","","","","","","","Fast","","","","","Easy to find","Simple","","Secure","","","","","","","","09/14/2018","3","3","3","2","2","0","0","3","0","0","","40","","","","","","","","","","","","","","","55","","","","","","4","5","","","","","10","","","","","","16","","","","0","0","2","2","4","0","3","FF only"
"570","Sep 14, 2018 7:09:51 pm","Sep 14, 2018 7:15:33 pm","Complete","","","English","","","1536977391_5b9c69ef3eeb34.88629973","","","","62.0","1","google-2018","0","5568eb0b-12f1-46d2-a5cf-bba9c8ddc32d","","","","","","Different","","Friendly","Fast","","Stable","","","Easy to find","Simple","","Secure","Private","Efficient","Socially responsible","Good reputation","On my side","","Distinctive","09/14/2018","3","3","3","","3","0","0","0","0","0","39","40","","","43","","","46","","","","50","51","","53","","55","","","1","2","","4","5","","7","","","","","","13","14","15","16","17","","","4","4","4","4","4","0","6","FF only"
"571","Sep 14, 2018 7:10:20 pm","Sep 14, 2018 7:14:22 pm","Complete","","","English","","","1536977420_5b9c6a0c46edf0.40642966","","","","61.0.2","1","bing","1","84e160e6-b587-4edb-b76a-4f635209c6e2","","","Independent","","Customizable","Different","Opensource","Friendly","Fast","","Stable","","","","Simple","Full of features","Secure","Private","Efficient","","Good reputation","","Been using for years","Distinctive","09/14/2018","2","1","2","2","0","0","0","0","0","0","39","","","42","43","","","","","","49","","","","53","54","","56","","","2","3","","5","","7","","","10","","","13","","15","16","17","","","4","4","4","3","4","1","5","FF only"
"572","Sep 14, 2018 7:10:47 pm","Sep 14, 2018 7:16:05 pm","Complete","","","English","","","1536977447_5b9c6a27015e94.89211412","","","","62.0","1","google-2018","0","bdc053b3-0bfd-4e00-a538-6b1e4e05c3ee","","","","","","","Opensource","","Fast","","","","","","","","Secure","","Efficient","","","","","","09/14/2018","0","0","0","1","0","0","1","0","0","0","39","40","","","43","","45","","","","","","","","53","","55","","","","2","3","4","5","","7","","","","","","13","14","15","16","17","","","4","4","4","4","4","0","3","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"573","Sep 14, 2018 7:10:36 pm","Sep 14, 2018 7:18:18 pm","Complete","","","English","","","1536977436_5b9c6a1c13a0c2.92993332","","","","62.0","1","google-2018","0","242866b9-6042-4ac0-85a1-48265f5795f8","","","Independent","","","","","Friendly","Fast","","Stable","","","Easy to find","Simple","","Secure","Private","Efficient","","Good reputation","On my side","Been using for years","","09/14/2018","3","3","3","3","2","0","0","0","0","0","39","40","","","","44","","","","","","","","","","","","56","","","2","3","","5","","7","","","","","","13","","15","16","17","","","0","2","4","4","4","","12","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"574","Sep 14, 2018 7:11:32 pm","Sep 14, 2018 7:15:27 pm","Complete","","","English","","","1536977491_5b9c6a53ed8659.44369409","","","","62.0","1","google-2018","1","edd3f83e-d5af-4df7-8e3a-20893318bf4b","","","","","Customizable","","","","Fast","","Stable","","","","Simple","","Secure","","Efficient","Socially responsible","Good reputation","","","","09/14/2018","2","2","2","2","2","0","1","1","2","1","39","","","42","43","","","","","","","","51","","53","54","55","","","","2","","","5","6","7","","","","","12","","","15","16","17","","","0","1","4","4","3","4","4","FF only"
"575","Sep 14, 2018 7:11:12 pm","Sep 14, 2018 7:14:27 pm","Partial","","","English","","","1536977472_5b9c6a40b8eb46.07476509","","","","62.0","0","google-2018","0","3cd8083a-4488-e749-aaea-f508a5bc85fa","","","","","","","","Friendly","Fast","Popular","Stable","","","","Simple","","Secure","","Efficient","","Good reputation","On my side","","Distinctive","09/14/2018","1","2","2","2","1","0","1","0","1","0","39","","","42","43","","45","","47","","49","","51","","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"576","Sep 14, 2018 7:11:45 pm","Sep 14, 2018 7:15:27 pm","Complete","","","English","","","1536977505_5b9c6a61980396.53219933","","","","62.0","1","ddg","1","4b45886c-7fdf-4551-8488-39771a8999ef","","","","","Customizable","","","","Fast","","Stable","","","","","Full of features","Secure","Private","Efficient","","Good reputation","On my side","","","09/14/2018","1","1","2","2","0","0","0","0","0","0","39","","","42","43","44","","","","","49","","","","53","54","55","56","","","2","","4","5","","7","","","","","12","13","","15","16","","","","4","3","0","2","3","5","5","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"577","Sep 14, 2018 7:11:55 pm","Sep 14, 2018 7:17:37 pm","Complete","","","English","","","1536977515_5b9c6a6b743a42.77652138","","","","62.0","1","google-2018","0","c311dd39-1491-4b1f-8a3c-01c32f87796b","","","Independent","","Customizable","","","Friendly","","","Stable","","","","Simple","","Secure","Private","Efficient","Socially responsible","","","Been using for years","","09/14/2018","3","3","3","3","3","0","0","0","0","0","39","40","","","43","","","","","","","","","","","","","","","","2","3","4","5","6","7","","","","","12","13","","","16","17","","","3","3","4","4","4","8","4","FF only"
"578","Sep 14, 2018 7:11:22 pm","Sep 14, 2018 7:22:19 pm","Complete","","","English","","","1536977482_5b9c6a4a925355.85794622","","","","62.0","1","google-2018","1","811fed45-f6c9-4f6e-8fab-90d8febf675e","","","","","","","","","Fast","","","","","Easy to find","Simple","","Secure","","","","","","","","09/14/2018","2","3","3","","1","0","0","0","0","0","","","","","","","","","","","","","","","","","","","57","","2","","","5","","","","","","","","","","","16","","","","2","4","1","4","1","12","3","FF secondary"
"579","Sep 14, 2018 7:12:48 pm","Sep 14, 2018 7:13:14 pm","Partial","","","English","","","1536977568_5b9c6aa03d77d8.02850894","","","","62.0","0","google-2018","1","bd1d48c2-deca-4d46-acc8-33e4ff913f52","","","","","","","","","","","Stable","","","","Simple","","Secure","Private","","","","","","","09/14/2018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"580","Sep 14, 2018 7:12:17 pm","Sep 14, 2018 7:17:13 pm","Complete","","","English","","","1536977537_5b9c6a81809313.74852622","","","","62.0","1","google-2018","0","32e69df2-7de2-420d-9133-eda4018ec453","","","","","","","","","Fast","","Stable","","","","","","Secure","","Efficient","","","","","","09/14/2018","1","1","1","1","1","0","1","1","1","0","","40","","","43","","","","","","","","","","","","55","","","1","2","3","4","5","","","","","","","","13","14","15","16","","","","3","0","4","4","4","3","3","I use Firefox <strong>more often</strong> than I use the other browser(s) that I sometimes choose."
"581","Sep 14, 2018 7:12:36 pm","Sep 14, 2018 7:17:43 pm","Complete","","","English","","","1536977556_5b9c6a94ac80d5.98616164","","","","62.0","1","google-2018","0","ddf6b4ae-c7dc-42bd-81fd-a934e24ea735","","","","","","","","","Fast","","Stable","","","","","","Secure","","Efficient","","","","","","09/14/2018","3","2","1","2","0","0","0","0","2","0","","40","","","43","","","","","","","","","","53","","","","","","","","4","5","","","","","","","","","14","15","16","17","","","4","4","4","4","4","0","3","FF only"
